date ,eps,,,,,,Date,Price,Open,High,Low,Vol.,Change %
30-09-2025,$0.44,,,,,,01-09-2025,951,949.6,979.65,939.1,406.44M,-0.06%
30-06-2025,$0.37,,,,,,01-08-2025,951.6,"1,007.00","1,014.15",950.1,291.98M,-5.70%
31-03-2025,$0.35,,,,,,01-07-2025,"1,009.10","1,000.01","1,016.32",974.08,360.70M,1.09%
31-12-2024,$0.41,,,,,,01-06-2025,998.27,962.65,"1,011.03",951.63,419.11M,2.91%
30-09-2024,$0.42,,,,,,01-05-2025,970.04,962.51,978.42,941.06,428.07M,1.03%
30-06-2024,$0.39,,,,,,01-04-2025,960.11,898.76,986.99,866.94,537.79M,5.29%
31-03-2024,$0.36,,,,,,01-03-2025,911.83,867.74,919.56,832.95,437.90M,5.53%
31-12-2023,$0.41,,,,,,01-02-2025,864.05,846.64,881.31,828.49,442.10M,1.98%
30-09-2023,$0.40,,,,,,01-01-2025,847.27,884.52,899.49,810.13,512.58M,-4.18%
30-06-2023,$0.40,,,,,,01-12-2024,884.22,899.51,937.67,880.61,439.57M,-1.29%
31-03-2023,$0.48,,,,,,01-11-2024,895.8,864.35,915.77,833.97,952.84M,3.48%
31-12-2022,$0.42,,,,,,01-10-2024,865.7,859.86,882.13,804.5,724.47M,0.21%
30-09-2022,$0.37,,,,,,01-09-2024,863.88,821.36,891.78,809.59,627.19M,5.81%
30-06-2022,$0.34,,,,,,01-08-2024,816.42,809.44,835.9,794.67,1.13B,1.31%
31-03-2022,$0.37,,,,,,01-07-2024,805.87,837.92,894.77,792.05,1.05B,-4.04%
31-12-2021,$0.38,,,,,,01-06-2024,839.81,797.52,856.34,725.2,915.68M,9.94%
30-09-2021,$0.33,,,,,,01-05-2024,763.87,759.11,770.58,711.63,742.39M,0.75%
30-06-2021,$0.29,,,,,,01-04-2024,758.16,727.19,776.77,725.99,724.50M,4.99%
31-12-2020,$0.32,,,,,,01-03-2024,722.15,698.26,733.97,698.26,927.69M,3.17%
30-09-2020,$0.28,,,,,,01-02-2024,699.96,730.71,738.59,680.08,946.02M,-4.04%
30-09-2019,$0.00,,,,,,01-01-2024,729.46,850.88,852.45,688.41,1.22B,-14.43%
30-09-2014,$0.00,,,,,,01-12-2023,852.5,777.02,858.56,774.12,756.53M,9.65%
30-06-2014,$0.12,,,,,,01-11-2023,777.47,729.31,784.27,729.31,586.45M,5.57%
31-03-2014,$0.12,,,,,,01-10-2023,736.42,761.6,775.94,728.31,630.18M,-3.26%
31-12-2013,$0.12,,,,,,01-09-2023,761.26,783.55,832.93,755.62,1.03B,-2.87%
30-09-2013,$0.10,,,,,,01-08-2023,783.77,825.17,831.66,777.27,843.37M,-4.83%
30-06-2013,$0.10,,,,,,01-07-2023,823.55,854.12,876.57,811.56,928.73M,-2.95%
31-03-2013,$0.11,,,,,,01-06-2023,848.59,807.94,852.28,787.54,609.57M,5.62%
31-12-2012,$0.11,,,,,,01-05-2023,803.43,842.25,865.07,796.69,771.63M,-4.55%
30-09-2012,$0.09,,,,,,01-04-2023,841.71,801.78,857.87,799.39,593.45M,4.85%
30-06-2012,$0.08,,,,,,01-03-2023,802.78,804,820.93,764.12,562.50M,0.62%
31-03-2012,$0.09,,,,,,01-02-2023,797.81,809.98,838.86,786.69,253.23M,-0.24%
31-12-2011,$0.09,,,,,,01-01-2023,799.76,811.48,849.09,778.06,306.00M,-1.51%
30-09-2011,$0.08,,,,,,01-12-2022,812.05,808.99,832.63,790.76,260.32M,1.22%
30-06-2011,$0.08,,,,,,01-11-2022,802.23,749.88,818.96,742.95,304.52M,7.47%
31-03-2011,$0.08,,,,,,01-10-2022,746.49,703.23,747.14,690.28,228.86M,5.30%
31-12-2010,$0.08,,,,,,01-09-2022,708.91,730.56,768.56,680.81,296.64M,-4.36%
30-06-2016,$1.38,,,,,,01-08-2022,741.21,717.71,755.07,704.72,236.68M,3.62%
31-03-2016,$1.27,,,,,,01-07-2022,715.32,670.31,717.51,663.37,283.97M,6.39%
31-12-2015,$0.97,,,,,,01-06-2022,672.33,688.29,698.64,634.22,233.62M,-2.95%
30-09-2015,$0.69,,,,,,01-05-2022,692.75,679.33,708.49,637.56,401.29M,0.31%
30-06-2015,$1.20,,,,,,01-04-2022,690.58,736.37,858.91,659.48,676.46M,-5.83%
31-03-2015,$1.30,,,,,,01-03-2022,733.35,691.53,757.52,644.4,429.12M,3.09%
31-12-2014,$1.19,,,,,,01-02-2022,711.36,752.38,768.06,701.83,259.27M,-4.00%
30-09-2014,$1.21,,,,,,01-01-2022,741.01,740.66,786.37,715.72,312.80M,0.43%
30-06-2014,$1.22,,,,,,01-12-2021,737.86,745.64,775.6,705.3,225.68M,-0.95%
31-03-2014,$1.11,,,,,,01-11-2021,744.92,790.53,808.99,729.19,259.85M,-5.64%
31-12-2013,$0.78,,,,,,01-10-2021,789.46,789.54,860.36,778.06,250.43M,-0.76%
30-09-2013,$1.22,,,,,,01-09-2021,795.5,785.55,815.72,762.58,257.21M,0.86%
30-06-2013,$1.05,,,,,,01-08-2021,788.74,715.72,789.71,703.25,269.42M,10.86%
31-03-2013,$1.09,,,,,,01-07-2021,711.45,749.14,770.76,700.26,300.78M,-4.77%
31-12-2012,$1.05,,,,,,01-06-2021,747.09,758.26,761.6,725.69,218.27M,-1.18%
30-09-2012,$1.30,,,,,,01-05-2021,756.04,694.77,758.34,686.94,316.83M,7.33%
30-06-2012,$1.44,,,,,,01-04-2021,704.4,747.84,749.96,674.82,471.54M,-5.45%
31-03-2012,$1.54,,,,,,01-03-2021,744.97,780.06,798.01,723.33,360.31M,-2.66%
31-12-2011,$0.91,,,,,,01-02-2021,765.3,703.37,818.46,698.76,398.72M,10.35%
30-09-2011,$1.13,,,,,,01-01-2021,693.52,718.21,753.95,669.33,406.42M,-3.19%
30-06-2011,$1.31,,,,,,01-12-2020,716.37,718.64,722.7,670.83,448.94M,-0.32%
31-03-2011,$1.23,,,,,,01-11-2020,718.64,595.69,730.38,587.29,512.00M,21.74%
31-12-2010,$0.53,,,,,,01-10-2020,590.31,543.7,623.95,543.7,511.26M,9.73%
,,,,,,,01-09-2020,537.96,562.6,571.55,511.23,417.04M,-3.34%
,,,,,,,01-08-2020,556.54,511.7,572.97,495.27,584.47M,8.04%
,,,,,,,01-07-2020,515.12,531.6,577.54,508.76,705.58M,-3.10%
,,,,,,,01-06-2020,531.6,486.29,539.96,462.85,935.98M,12.00%
,,,,,,,01-05-2020,474.64,477.56,478.81,412.02,766.40M,-5.01%
,,,,,,,01-04-2020,499.66,430.85,508.24,403.99,795.49M,16.23%
,,,,,,,01-03-2020,429.88,598.61,599.08,368.46,946.27M,-26.81%
,,,,,,,01-02-2020,587.36,608.49,628.39,583.6,262.45M,-3.97%
,,,,,,,01-01-2020,611.63,636.47,650.81,604.37,275.82M,-3.60%
,,,,,,,01-12-2019,634.47,635.39,651.13,615.57,234.03M,-0.22%
,,,,,,,01-11-2019,635.89,617.96,641.9,612.28,224.66M,3.62%
,,,,,,,01-10-2019,613.65,614.22,630.38,589.11,274.40M,0.24%
,,,,,,,01-09-2019,612.2,553.62,639.76,540.65,352.10M,10.19%
,,,,,,,01-08-2019,555.61,555.89,570.83,533.57,361.57M,-0.83%
,,,,,,,01-07-2019,560.27,611.12,622.89,553.15,281.94M,-7.86%
