Date,Price,TTM_EPS,P/E_TTM
2011-10-01,121.92,1.47,82.93877551020408
2011-11-01,110.11,1.47,74.90476190476191
2011-12-01,106.21,1.47,72.25170068027211
2012-01-01,122.45,1.48,82.73648648648648
2012-02-01,128.67,1.48,86.93918918918918
2012-03-01,129.35,1.48,87.39864864864865
2012-04-01,134.99,0.33999999999999997,397.02941176470597
2012-05-01,125.96,0.33999999999999997,370.47058823529414
2012-06-01,140.23,0.33999999999999997,412.44117647058823
2012-07-01,146.25,0.33999999999999997,430.14705882352945
2012-08-01,148.14,0.33999999999999997,435.70588235294116
2012-09-01,156.55,0.33999999999999997,460.4411764705883
2012-10-01,157.81,0.35000000000000003,450.88571428571424
2012-11-01,175.16,0.35000000000000003,500.4571428571428
2012-12-01,168.85,0.35000000000000003,482.4285714285714
2013-01-01,160.01,0.37,432.4594594594594
2013-02-01,155.6,0.37,420.5405405405405
2013-03-01,155.6,0.37,420.5405405405405
2013-04-01,169.77,0.39,435.3076923076923
2013-05-01,174.3,0.39,446.92307692307696
2013-06-01,166.59,0.39,427.15384615384613
2013-07-01,151.72,1.36,111.55882352941175
2013-08-01,147.8,1.36,108.67647058823529
2013-09-01,147.57,1.36,108.50735294117646
2013-10-01,169.4,2.49,68.03212851405623
2013-11-01,164.55,2.49,66.08433734939759
2013-12-01,165.68,2.49,66.53815261044177
2014-01-01,156.39,2.5,62.556
2014-02-01,166.61,2.5,66.644
2014-03-01,186.32,2.5,74.52799999999999
2014-04-01,179.48,2.5100000000000002,71.50597609561751
2014-05-01,197.26,2.5100000000000002,78.58964143426294
2014-06-01,204.42,2.5100000000000002,81.4422310756972
2014-07-01,207.52,2.6799999999999997,77.43283582089553
2014-08-01,209.9,2.6799999999999997,78.32089552238807
2014-09-01,217.14,2.6799999999999997,81.0223880597015
2014-10-01,226.89,2.67,84.97752808988764
2014-11-01,238.16,2.67,89.19850187265918
2014-12-01,236.78,2.67,88.68164794007491
2015-01-01,268.07,3.7399999999999998,71.67647058823529
2015-02-01,266.54,3.7399999999999998,71.2673796791444
2015-03-01,254.47,3.7399999999999998,68.04010695187166
2015-04-01,246.04,4.92,50.00813008130081
2015-05-01,261.4,4.92,53.130081300813
2015-06-01,265.53,4.92,53.96951219512194
2015-07-01,276.61,4.9,56.45102040816327
2015-08-01,255.66,4.9,52.175510204081625
2015-09-01,265.94,4.9,54.2734693877551
2015-10-01,273.61,4.38,62.46803652968037
2015-11-01,268.17,4.38,61.22602739726028
2015-12-01,269.27,4.38,61.47716894977169
2016-01-01,261.23,4.16,62.79567307692308
2016-02-01,241.82,4.16,58.129807692307686
2016-03-01,266.53,4.16,64.06971153846153
2016-04-01,281.76,4.13,68.2227602905569
2016-05-01,294.09,4.13,71.20823244552058
2016-06-01,292.73,4.13,70.87893462469734
2016-07-01,310.09,4.31,71.94663573085847
2016-08-01,321.28,4.31,74.5429234338747
2016-09-01,316.72,4.31,73.4849187935035
2016-10-01,311.85,4.31,72.35498839907194
2016-11-01,298.49,4.31,69.25522041763342
2016-12-01,300.13,4.31,69.63573085846868
2017-01-01,320.15,4.31,74.28074245939675
2017-02-01,345.89,4.31,80.25290023201856
2017-03-01,358.94,4.31,83.28074245939676
2017-04-01,384.81,4.31,89.28306264501161
2017-05-01,407.13,4.31,94.46171693735499
2017-06-01,411.07,4.31,95.37587006960558
2017-07-01,444.0,4.31,103.01624129930396
2017-08-01,442.03,4.31,102.55916473317866
2017-09-01,449.3,4.31,104.24593967517403
2017-10-01,450.0,4.31,104.40835266821347
2017-11-01,461.25,4.31,107.0185614849188
